Comment,Designator,Footprint,LCSC PArt

"0805W8F1002T5E","R10, R11, R12, R13","RES-0805","C17414"
"0805W8F1202T5E","R8, R9","RES-0805","C17444"
"0805W8F4700T5E","R7","RES-0805","C17710"
"TC0525D1000T5E","R6","RES-0805","C44786"
"Z-231011010106","P2","IDC5X2","C221045"
"LD1117ADT33TR","IC1","TO252","C157401"
"2N7002A-7","Q4, Q5","SuperSOT-3","C139446"
"CL10B104KC8NNNC","C1, C2, C3, C4, C5, C8, C10","C0603C104K5RACTU","C15725"
"CL10A106KP8NNNC","C9, C11","C0603C104K5RACTU","C19702"
"KF103-5.0-2P","LS1","VERDE 2pin","C475088"
"ERJ6RBD1202V","R1, R2, R3, R4, R5","RES-0805","C336850"
"3362P-1-502LF","VR1","POT LIN VR1","C81260"
"SS32","D2","DO-214AC)","C34897"
"B5817WS","D1","Diode S4","C122854"
"T491B107M010AT","C7","TAJB107M006RNJ","C90975"
"T491A106K010AT2478","C6","3216 Case-A","C110052"
"MMBT3906LT1G","Q1","SOT-23-TT3_N","C53444"
"MMBT3904LT3G","Q2, Q3","SOT-23-TT3_N","C150052"
"C10418","P1","USB_MICRO_B_AT","C10418"
"CP2102-GMR","U2","QFN50P500X500X100-29N","C6568"
"ESP-12F(ESP8266MOD)","U1","ESP-12E&F Module","C82891"
