Comment,Designator,Footprint,LCSC Part
""
C44593,"C101, C110, C201, C210, C301, C310, C401, C410",C100UF,C44593
CL10B104KC8NNNC,"C102, C103, C104, C105, C106, C107, C108, C109, C111, C112, C113, C114, C115, C116, C117, C118, C126, C127, C128, C129, C130, C131, C133, C202, C203, C204, C205, C206, C207, C208, C209, C211, C212, C213, C214, C215, C216, C217, C218, C226, C227, C228, C229, C230, C231, C233, C302, C303, C304, C305, C306, C307, C308, C309, C311, C312, C313, C314, C315, C316, C317, C318, C326, C327, C328, C329, C330, C331, C333, C402, C403, C404, C405, C406, C407, C408, C409, C411, C412, C413, C414, C415, C416, C417, C418, C426, C427, C428, C429, C430, C431, C433","CAP0603,1608",C15725
CL10C150JB8NNNC,"C119, C120, C121, C122, C123, C124, C219, C220, C221, C222, C223, C224, C319, C320, C321, C322, C323, C324, C419, C420, C421, C422, C423, C424","CAP0603,1608",C1644
C44593,"C125, C132, C134, C135, C225, C232, C234, C235, C325, C332, C334, C335, C425, C432, C434, C435",C100UF,C44593
CL10B104KC8NNNC,"C136, C236, C336, C436",C0603C104K5RACTU,C15725
RL207,"D101, D102, D103, D104, D105, D201, D202, D203, D204, D205, D301, D302, D303, D304, D305, D401, D402, D403, D404, D405",DIODE-0.3_GENARO,C402278
Z-231011010106,"MDA101, MDB101, MDC101, MDD101, XBEE101, MDA201, MDB201, MDC201, MDD201, XBEE201, MDA301, MDB301, MDC301, MDD301, XBEE301, MDA401, MDB401, MDC401, MDD401, XBEE401",IDC5X2,C221045
KF103-5.0-2P,"P104, P204, P304, P404",AZUL5-4,C475088
KF103-5.0-2P,"P105, P205, P305, P405",AZUL5-2,C475088
3362P-1-502LF,"PT101, PT201, PT301, PT401",POT LIN VR1,C81260
MMBT3906LT1G,"Q101, Q102, Q105, Q106, Q201, Q202, Q205, Q206, Q301, Q302, Q305, Q306, Q401, Q402, Q405, Q406",SOT95P240-3RM,C53444
MMBT3904LT3G,"Q103, Q104, Q203, Q204, Q303, Q304, Q403, Q404",SOT95P240-3RM,C150052
1206W4F1002T5E,"R101, R102, R123, R124, R201, R202, R223, R224, R301, R302, R323, R324, R401, R402, R423, R424",RES1206-3216,C17902
1206W4F1001T5,"R103, R104, R107, R109, R111, R113, R115, R117, R119, R121, R152, R203, R204, R207, R209, R211, R213, R215, R217, R219, R221, R252, R303, R304, R307, R309, R311, R313, R315, R317, R319, R321, R352, R403, R404, R407, R409, R411, R413, R415, R417, R419, R421, R452",RES1206-3216,C4410
1206W4J0471T5E,"R105, R106, R205, R206, R305, R306, R405, R406",RES1206-3216,C25383
1206W4F1000T5E,"R108, R110, R112, R114, R116, R118, R120, R122, R132, R208, R210, R212, R214, R216, R218, R220, R222, R232, R308, R310, R312, R314, R316, R318, R320, R322, R332, R408, R410, R412, R414, R416, R418, R420, R422, R432",RES1206-3216,C17901
1206W4F1003T5E,"R125, R126, R127, R128, R129, R130, R131, R133, R134, R135, R136, R140, R142, R143, R144, R148, R151, R153, R225, R226, R227, R228, R229, R230, R231, R233, R234, R235, R236, R240, R242, R243, R244, R248, R251, R253, R325, R326, R327, R328, R329, R330, R331, R333, R334, R335, R336, R340, R342, R343, R344, R348, R351, R353, R425, R426, R427, R428, R429, R430, R431, R433, R434, R435, R436, R440, R442, R443, R444, R448, R451, R453",RES1206-3216,C17900
1206W4F4701T5E,"R137, R139, R141, R237, R239, R241, R337, R339, R341, R437, R439, R441",RES1206-3216,C17936
1206W4F1003T5E,"R138, R238, R338, R438",CRCW1206100KJNEA,C17900
1206W4F100KT5E,"R145, R146, R147, R150, R245, R246, R247, R250, R345, R346, R347, R350, R445, R446, R447, R450",RES1206-3216,C17928
1206W4F3302T5E,"R149, R249, R349, R449",RES1206-3216,C18004
MIC29302WU-TR,"REG101, REG201, REG301, REG401",MIC29302BU,C11149
ULN2803ADWR,"U101, U201, U301, U401",SOIC-SO18_M,C9683
PIC16F886-I/SS,"U102, U202, U302, U402",SSOP-SS28_N,C38185
PIC18F4520-I/PT,"U105, U205, U305, U405",TQFP-PT44_M,C9734
X49SD20MSD2SC,"Y101, Y201, Y301, Y401",CRYSTAL,C16370
