Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment

C11,C0603C104K5RACTU,1382.362mil,979.41mil,1382.362mil,979.41mil,1416.418mil,979.41mil,T,180,EMK107BBJ106MA-T
C10,C0603C104K5RACTU,1382.362mil,915.582mil,1382.362mil,915.582mil,1416.418mil,915.582mil,T,180,CL10B104KC8NNNC
C9,C0603C104K5RACTU,780mil,1555mil,780mil,1555mil,745.944mil,1555mil,T,360,EMK107BBJ106MA-T
C8,C0603C104K5RACTU,1230.944mil,705mil,1230.944mil,705mil,1265mil,705mil,T,180,CL10B104KC8NNNC
C3,C0603C104K5RACTU,1230.944mil,783.03mil,1230.944mil,783.03mil,1265mil,783.03mil,T,180,CL10B104KC8NNNC
C7,TAJB107M006RNJ,160mil,950mil,160mil,950mil,100.945mil,950mil,T,180,F931A107KBAAHA
C5,C0603C104K5RACTU,135mil,1158.936mil,135mil,1158.936mil,169.056mil,1158.936mil,T,180,CL10B104KC8NNNC
C2,C0603C104K5RACTU,135.001mil,1079.999mil,135.001mil,1079.999mil,169.057mil,1079.999mil,T,180,CL10B104KC8NNNC
C1,C0603C104K5RACTU,765.472mil,2080mil,765.472mil,2080mil,731.417mil,2080mil,T,0,CL10B104KC8NNNC
C4,C0603C104K5RACTU,525mil,705mil,525mil,705mil,525mil,670.944mil,T,90,CL10B104KC8NNNC
C6,3216_Case-A,1270.158mil,435mil,1270.158mil,435mil,1203.228mil,435mil,T,180,T491A106K010AT2478
D1,Diode_S4,1280mil,305mil,1280mil,305mil,1207.165mil,305mil,T,180,1N5817WS
D2,DO-214AC),520mil,1980mil,520mil,1980mil,520mil,1901.653mil,T,270,SS32
IC1,TO252,280.212mil,705mil,260mil,705mil,431.26mil,615.039mil,T,180,LM1117DTX-3.3/NOPB
LS1,VERDE_2pin,205mil,1983.425mil,205mil,1885mil,205mil,1885mil,T,90,KF103-5.0-2P
P2,IDC5X2,710mil,185mil,710mil,185mil,910mil,235mil,T,180,Z-231011010106
Q1,SOT-23-TT3_N,460mil,1525mil,460mil,1525mil,422.598mil,1487.598mil,T,270,MMBT3906-7-F
Q2,SOT-23-TT3_N,764.016mil,1039.056mil,764.016mil,1039.056mil,801.418mil,1001.654mil,T,0,MMBT3904LT3G
Q3,SOT-23-TT3_N,764.016mil,790mil,764.016mil,790mil,801.418mil,752.598mil,T,0,MMBT3904LT3G
Q4,SuperSOT-3,1685mil,840mil,1685mil,840mil,1730.079mil,877.402mil,T,0,2N7002A-7
Q5,SuperSOT-3,1685mil,1225mil,1685mil,1225mil,1730.079mil,1262.401mil,T,0,2N7002A-7
R1,RES-0805,1760mil,1805mil,1760mil,1805mil,1802.323mil,1805mil,T,180,ERJ6RBD1202V
R2,RES-0805,1760mil,1710mil,1760mil,1710mil,1802.323mil,1710mil,T,180,ERJ6RBD1202V
R3,RES-0805,761.087mil,1887.756mil,761.087mil,1887.756mil,718.765mil,1887.756mil,T,0,ERJ6RBD1202V
R4,RES-0805,761.087mil,1990.512mil,761.087mil,1990.512mil,718.765mil,1990.512mil,T,360,ERJ6RBD1202V
R5,RES-0805,1760mil,1615mil,1760mil,1615mil,1802.323mil,1615mil,T,180,ERJ6RBD1202V
R6,RES-0805,458.543mil,1309.921mil,458.543mil,1309.921mil,500.866mil,1309.921mil,T,180,SWR05JTFV1000
R7,RES-0805,1760mil,2105mil,1760mil,2105mil,1717.677mil,2105mil,T,0,RC0805FR-07470RL
R8,RES-0805,765mil,914.056mil,765mil,914.056mil,722.677mil,914.056mil,T,0,ERJ6RBD1202V
R9,RES-0805,765mil,1165mil,765mil,1165mil,722.677mil,1165mil,T,360,ERJ6RBD1202V
R10,RES-0805,1685mil,980mil,1685mil,980mil,1642.677mil,980mil,T,360,ERJPB6D1002V
R11,RES-0805,1685mil,700mil,1685mil,700mil,1642.677mil,700mil,T,360,ERJPB6D1002V
R12,RES-0805,1685mil,1090mil,1685mil,1090mil,1642.677mil,1090mil,T,360,ERJPB6D1002V
R13,RES-0805,1685mil,1360mil,1685mil,1360mil,1642.677mil,1360mil,T,360,ERJPB6D1002V
U1,ESP-12E&F_Module,1245mil,1800mil,1245mil,1800mil,945.787mil,2105.119mil,T,360,ESP-12F(ESP8266MOD)
U2,QFN50P500X500X100-29N,1105mil,974.056mil,1105mil,974.056mil,1045.94mil,880.746mil,T,0,CP2102-GMR
VR1,POT_LIN_VR1,190mil,1455mil,190mil,1455mil,90mil,1555mil,T,270,3362P-1-502LF
P1,USB_MICRO_B_AT,1459.331mil,112.331mil,1460mil,60mil,1407.331mil,165.331mil,T,180,C10418
